"Study","Study.year","Experimental.cases","Experimental.N","Control.cases","Control.N","Subgroup"
"Ali 2024 (PETS)",NA,1,25,2,25,""
"Bergamin 2017 (TRICOP)",2017,84,151,67,149,""
"Blair 1986",1986,0,26,2,24,""
"Buckstein 2024a (RBC-ENHANCE)",NA,0,13,0,15,""
"Bush 1997",1997,4,50,4,49,""
"Byun 2023",NA,2,44,2,47,""
"Carson 1998",1998,1,42,1,42,""
"Carson 2011 (FOCUS)",2011,43,1009,52,1007,""
"Carson 2013 (MINT pilot)",2013,7,54,1,55,""
"Carson 2023a (MINT)",2023,173,1749,146,1755,""
"Chapalain 2023",NA,0,15,0,15,""
"Cooper 2011 (CRIT)",2011,2,24,1,21,""
"DeZern 2016",2016,1,59,2,30,""
"Ducrocq 2021 (REALITY)",2021,20,342,26,324,""
"Foss 2009",2009,5,60,0,60,""
"Gillies 2020 (RESULT-NOF)",2020,2,26,1,36,""
"Gobatto 2019 (TRAHT)",2019,7,23,1,21,""
"Gregersen 2015 (TRIFE)",2015,21,144,12,140,""
"Grover 2006",2005,0,109,1,109,""
"Hajjar 2010 (TRACS)",2010,15,249,12,253,""
"Hayakawa 2023 (RESTRIC)",NA,17,216,17,195,""
"Holst 2014 (TRISS)",2014,168,502,175,496,""
"Hébert 1995 (TRICC pilot)",1995,8,33,9,36,""
"Hébert 1999 (TRICC)",1999,78,418,98,420,""
"Jairath 2015 (TRIGGER)",2015,14,257,25,382,""
"Kola 2020",2020,1,363,3,354,""
"Laine 2018",2018,0,40,0,40,""
"Lotke 1999",1999,0,62,0,65,""
"Markatou 2012",NA,0,25,2,27,""
"Mazer 2017 (TRICS III)",2017,74,2427,87,2429,""
"Morton 2022 (REAL pilot)",NA,1,21,1,22,""
"Mullis 2023 (ORACL)",NA,0,50,0,49,""
"Murphy 2015 (TITRe2)",2015,26,1000,19,1003,""
"Møller 2019",2019,1,29,1,29,""
"Naidech 2010",NA,0,23,0,21,""
"Palmieri 2017 (TRIBE)",2017,16,168,15,177,""
"Parker 2013",2013,5,100,3,100,""
"Prick 2014 (WOMB)",2014,0,261,0,258,""
"Salehi 2021",NA,7,40,5,40,""
"Taccone 2024 (TRAIN)",NA,94,418,82,397,""
"Villanueva 2013",2013,19,416,34,417,""
"Walsh 2013 (RELIEVE)",2013,12,51,16,49,""
"Webert 2008",2008,1,29,2,31,""
"de Almeida 2015",2015,23,101,8,97,""
"Cholette 2011",NA,0,30,0,30,"Prospectively registered trials"
"Cholette 2017",NA,3,82,3,80,"Prospectively registered trials"
"Maitland 2019 (TRACT)",2019,13,787,7,778,"Prospectively registered trials"
"de Gast Bakker 2013",2013,0,53,0,54,"Prospectively registered trials"
"Lacroix 2007 (TRIPICU)",2007,14,320,14,317,"Trials without prospective registration"
"New 2025 (RePAST)",NA,0,17,0,17,"Trials without prospective registration"
"Robitaille 2013",2013,0,3,0,3,"Trials without prospective registration"
